,Estado,Situação Sensitária,Acesso a internet em casa,Acesso através de 3g ou 4g
65801,31,1,2.0,Sim
65802,31,1,2.0,Não
65805,31,1,2.0,Não
65806,31,1,2.0,Não
65807,31,1,2.0,Sim
65808,31,1,2.0,Sim
65809,31,1,2.0,Sim
65810,31,1,2.0,Sim
65811,31,1,2.0,Sim
65812,31,1,2.0,Não
65813,31,1,2.0,Sim
65814,31,1,2.0,Sim
65815,31,1,2.0,Sim
65817,31,1,2.0,Sim
65819,31,1,2.0,Sim
65823,31,1,2.0,Não
65825,31,1,2.0,Sim
65826,31,1,2.0,Sim
65827,31,1,2.0,Não
65829,31,1,2.0,Sim
65830,31,1,2.0,Não
65831,31,1,2.0,Sim
65832,31,1,2.0,Sim
65836,31,1,2.0,Não
65837,31,1,2.0,Sim
65838,31,1,2.0,Sim
65839,31,1,2.0,Sim
65840,31,1,2.0,Não
65841,31,1,2.0,Sim
65842,31,1,2.0,Sim
65843,31,1,2.0,Sim
65844,31,1,2.0,Sim
65845,31,1,2.0,Sim
65846,31,1,2.0,Não
65847,31,1,2.0,Não
65848,31,1,2.0,Não
65849,31,1,2.0,Sim
65851,31,1,2.0,Não
65852,31,1,2.0,Não
65854,31,1,2.0,Não
65855,31,1,2.0,Não
65856,31,1,2.0,Sim
65858,31,1,2.0,Não
65859,31,1,2.0,Sim
65860,31,1,2.0,Sim
65861,31,1,2.0,Sim
65862,31,1,2.0,Não
65863,31,1,2.0,Sim
65864,31,1,2.0,Sim
65865,31,1,2.0,Sim
65866,31,1,2.0,Sim
65867,31,1,2.0,Não
65868,31,1,2.0,Não
65869,31,1,2.0,Sim
65872,31,1,2.0,Não
65873,31,1,2.0,Não
65878,31,1,2.0,Sim
65880,31,1,2.0,Sim
65881,31,1,2.0,Sim
65883,31,1,2.0,Sim
65885,31,1,2.0,Sim
65886,31,1,2.0,Sim
65887,31,1,2.0,Não
65888,31,1,2.0,Sim
65889,31,1,2.0,Não
65891,31,1,2.0,Sim
65892,31,1,2.0,Sim
65893,31,1,2.0,Sim
65895,31,1,2.0,Sim
65897,31,1,2.0,Sim
65898,31,1,2.0,Sim
65899,31,1,2.0,Sim
65901,31,1,2.0,Sim
65902,31,1,2.0,Sim
65904,31,1,2.0,Não
65905,31,1,2.0,Sim
65906,31,1,2.0,Sim
65907,31,1,2.0,Sim
65908,31,1,2.0,Sim
65909,31,1,2.0,Sim
65910,31,1,2.0,Sim
65912,31,1,2.0,Não
65913,31,1,2.0,Sim
65915,31,1,2.0,Sim
65916,31,1,2.0,Não
65917,31,1,2.0,Sim
65918,31,1,2.0,Sim
65920,31,1,2.0,Sim
65921,31,1,2.0,Sim
65922,31,1,2.0,Não
65924,31,1,2.0,Sim
65925,31,1,2.0,Sim
65926,31,1,2.0,Sim
65927,31,1,2.0,Não
65930,31,1,2.0,Sim
65932,31,1,2.0,Sim
65933,31,1,2.0,Sim
65934,31,1,2.0,Sim
65935,31,1,2.0,Sim
65936,31,1,2.0,Sim
65937,31,1,2.0,Não
65938,31,1,2.0,Não
65941,31,1,2.0,Sim
65942,31,1,2.0,Sim
65944,31,1,2.0,Sim
65945,31,1,2.0,Sim
65947,31,1,2.0,Sim
65948,31,1,2.0,Sim
65949,31,1,2.0,Sim
65950,31,1,2.0,Sim
65951,31,1,2.0,Sim
65952,31,1,2.0,Sim
65953,31,1,2.0,Não
65956,31,1,2.0,Sim
65957,31,1,2.0,Sim
65958,31,1,2.0,Sim
65959,31,1,2.0,Sim
65960,31,1,2.0,Não
65961,31,1,2.0,Sim
65962,31,1,2.0,Sim
65963,31,1,2.0,Sim
65965,31,1,2.0,Sim
65966,31,1,2.0,Sim
65968,31,1,2.0,Sim
65969,31,1,2.0,Sim
65971,31,1,2.0,Sim
65974,31,1,2.0,Sim
65976,31,1,2.0,Sim
65977,31,1,2.0,Sim
65978,31,1,2.0,Sim
65979,31,1,2.0,Sim
65980,31,1,2.0,Sim
65982,31,1,2.0,Sim
65986,31,1,2.0,Sim
65988,31,1,2.0,Sim
65989,31,1,2.0,Sim
65991,31,1,2.0,Sim
65992,31,1,2.0,Sim
65993,31,1,2.0,Sim
65994,31,1,2.0,Sim
65995,31,1,2.0,Sim
65997,31,1,2.0,Sim
65998,31,1,2.0,Não
65999,31,1,2.0,Sim
66001,31,1,2.0,Não
66002,31,1,2.0,Sim
66003,31,1,2.0,Sim
66006,31,1,2.0,Sim
66009,31,1,2.0,Não
66010,31,1,2.0,Sim
66011,31,1,2.0,Sim
66012,31,1,2.0,Sim
66014,31,1,2.0,Sim
66015,31,1,2.0,Sim
66016,31,1,2.0,Sim
66018,31,1,2.0,Sim
66019,31,1,2.0,Não
66020,31,1,2.0,Sim
66024,31,1,2.0,Sim
66027,31,1,2.0,Não
66029,31,1,2.0,Não
66032,31,1,2.0,Não
66036,31,1,2.0,Não
66037,31,1,2.0,Sim
66039,31,1,2.0,Sim
66041,31,1,2.0,Não
66042,31,1,2.0,Sim
66043,31,1,2.0,Sim
66044,31,1,2.0,Sim
66045,31,1,2.0,Sim
66046,31,1,2.0,Não
66048,31,1,2.0,Sim
66049,31,1,2.0,Sim
66050,31,1,2.0,Sim
66051,31,1,2.0,Sim
66052,31,1,2.0,Sim
66055,31,1,2.0,Sim
66056,31,1,2.0,Sim
66059,31,1,2.0,Sim
66061,31,1,2.0,Sim
66062,31,1,2.0,Sim
66064,31,1,2.0,Não
66065,31,1,2.0,Sim
66066,31,1,2.0,Não
66068,31,1,2.0,Sim
66069,31,1,2.0,Não
66070,31,1,2.0,Sim
66071,31,1,2.0,Sim
66073,31,1,2.0,Sim
66074,31,1,2.0,Não
66075,31,1,2.0,Sim
66079,31,1,2.0,Sim
66080,31,1,2.0,Não
66082,31,1,2.0,Não
66083,31,1,2.0,Não
66084,31,1,2.0,Não
66086,31,1,2.0,Sim
66090,31,1,2.0,Não
66091,31,1,2.0,Sim
66092,31,1,2.0,Sim
66095,31,1,2.0,Sim
66096,31,1,2.0,Sim
66097,31,1,2.0,Sim
66098,31,1,2.0,Sim
66099,31,1,2.0,Sim
66100,31,1,2.0,Sim
66101,31,1,2.0,Sim
66102,31,1,2.0,Sim
66103,31,1,2.0,Sim
66104,31,1,2.0,Sim
66108,31,1,2.0,Sim
66109,31,1,2.0,Sim
66110,31,1,2.0,Sim
66111,31,1,2.0,Não
66113,31,1,2.0,Sim
66115,31,1,2.0,Sim
66116,31,1,2.0,Sim
66118,31,1,2.0,Não
66119,31,1,2.0,Sim
66120,31,1,2.0,Não
66121,31,1,2.0,Sim
66123,31,1,2.0,Não
66125,31,1,2.0,Não
66126,31,1,2.0,Sim
66128,31,1,2.0,Não
66129,31,1,2.0,Sim
66131,31,1,2.0,Sim
66136,31,1,2.0,Sim
66137,31,1,2.0,Sim
66143,31,1,2.0,Sim
66145,31,1,2.0,Sim
66146,31,1,2.0,Sim
66149,31,1,2.0,Sim
66150,31,1,2.0,Sim
66151,31,1,2.0,Não
66152,31,1,2.0,Sim
66153,31,1,2.0,Sim
66154,31,1,2.0,Sim
66155,31,1,2.0,Não
66157,31,1,2.0,Sim
66158,31,1,2.0,Sim
66160,31,1,2.0,Sim
66163,31,1,2.0,Sim
66164,31,1,2.0,Sim
66168,31,1,2.0,Sim
66169,31,1,2.0,Sim
66171,31,1,2.0,Sim
66172,31,1,2.0,Sim
66173,31,1,2.0,Sim
66174,31,1,2.0,Sim
66175,31,1,2.0,Sim
66176,31,1,2.0,Sim
66177,31,1,2.0,Sim
66178,31,1,2.0,Sim
66180,31,1,2.0,Sim
66181,31,1,2.0,Sim
66184,31,1,2.0,Sim
66185,31,1,2.0,Sim
66186,31,1,2.0,Não
66188,31,1,2.0,Sim
66189,31,1,2.0,Sim
66190,31,1,2.0,Sim
66191,31,1,2.0,Sim
66192,31,1,2.0,Sim
66193,31,1,2.0,Sim
66194,31,1,2.0,Sim
66195,31,1,2.0,Sim
66197,31,1,2.0,Sim
66198,31,1,2.0,Sim
66199,31,1,2.0,Sim
66200,31,1,2.0,Sim
66201,31,1,2.0,Sim
66202,31,1,2.0,Sim
66203,31,1,2.0,Sim
66204,31,1,2.0,Sim
66205,31,1,2.0,Sim
66206,31,1,2.0,Sim
66209,31,1,2.0,Sim
66210,31,1,2.0,Não
66211,31,1,2.0,Sim
66212,31,1,2.0,Sim
66213,31,1,2.0,Sim
66214,31,1,2.0,Sim
66215,31,1,2.0,Sim
66216,31,1,2.0,Sim
66217,31,1,2.0,Sim
66219,31,1,2.0,Sim
66220,31,1,2.0,Sim
66221,31,1,2.0,Não
66222,31,1,2.0,Sim
66223,31,1,2.0,Sim
66224,31,1,2.0,Sim
66225,31,1,2.0,Sim
66226,31,1,2.0,Sim
66227,31,1,2.0,Sim
66228,31,1,2.0,Não
66233,31,1,2.0,Sim
66236,31,1,2.0,Não
66237,31,1,2.0,Sim
66239,31,1,2.0,Sim
66240,31,1,2.0,Sim
66243,31,1,2.0,Sim
66244,31,1,2.0,Sim
66246,31,1,2.0,Sim
66249,31,1,2.0,Sim
66251,31,1,2.0,Sim
66254,31,1,2.0,Sim
66257,31,1,2.0,Sim
66258,31,1,2.0,Sim
66260,31,1,2.0,Sim
66261,31,1,2.0,Sim
66262,31,1,2.0,Sim
66264,31,1,2.0,Sim
66266,31,1,2.0,Sim
66268,31,1,2.0,Sim
66270,31,1,2.0,Sim
66271,31,1,2.0,Sim
66272,31,1,2.0,Sim
66273,31,1,2.0,Sim
66274,31,1,2.0,Sim
66275,31,1,2.0,Sim
66276,31,1,2.0,Sim
66280,31,1,2.0,Sim
66283,31,1,2.0,Sim
66284,31,1,2.0,Sim
66285,31,1,2.0,Sim
66287,31,1,2.0,Sim
66288,31,1,2.0,Sim
66289,31,1,2.0,Sim
66290,31,1,2.0,Sim
66291,31,1,2.0,Sim
66292,31,1,2.0,Sim
66293,31,1,2.0,Não
66294,31,1,2.0,Sim
66295,31,1,2.0,Sim
66296,31,1,2.0,Sim
66297,31,1,2.0,Sim
66298,31,1,2.0,Sim
66299,31,1,2.0,Sim
66300,31,1,2.0,Sim
66301,31,1,2.0,Sim
66302,31,1,2.0,Sim
66304,31,1,2.0,Sim
66305,31,1,2.0,Sim
66307,31,1,2.0,Sim
66308,31,1,2.0,Sim
66311,31,1,2.0,Não
66313,31,1,2.0,Não
66314,31,1,2.0,Não
66315,31,1,2.0,Não
66317,31,1,2.0,Não
66318,31,1,2.0,Não
66321,31,1,2.0,Não
66323,31,1,2.0,Sim
66324,31,1,2.0,Não
66328,31,1,2.0,Não
66330,31,1,2.0,Sim
66332,31,1,2.0,Não
66335,31,1,2.0,Sim
66339,31,1,2.0,Sim
66340,31,1,2.0,Sim
66341,31,1,2.0,Sim
66342,31,1,2.0,Sim
66343,31,1,2.0,Sim
66344,31,1,2.0,Sim
66345,31,1,2.0,Sim
66346,31,1,2.0,Sim
66347,31,1,2.0,Sim
66348,31,1,2.0,Sim
66349,31,1,2.0,Sim
66350,31,1,2.0,Sim
66354,31,1,2.0,Sim
66357,31,1,2.0,Sim
66363,31,1,2.0,Sim
66364,31,1,2.0,Não
66366,31,1,2.0,Não
66367,31,1,2.0,Sim
66368,31,1,2.0,Não
66370,31,1,2.0,Não
66371,31,1,2.0,Não
66375,31,1,2.0,Não
66377,31,1,2.0,Sim
66378,31,1,2.0,Não
66379,31,1,2.0,Sim
66383,31,1,2.0,Sim
66385,31,1,2.0,Sim
66386,31,1,2.0,Sim
66388,31,1,2.0,Sim
66389,31,1,2.0,Sim
66390,31,1,2.0,Sim
66392,31,1,2.0,Sim
66393,31,1,2.0,Sim
66398,31,1,2.0,Sim
66399,31,1,2.0,Sim
66400,31,1,2.0,Sim
66403,31,1,2.0,Sim
66404,31,1,2.0,Sim
66406,31,1,2.0,Sim
66407,31,1,2.0,Sim
66408,31,1,2.0,Sim
66410,31,1,2.0,Sim
66411,31,1,2.0,Sim
66413,31,1,2.0,Sim
66414,31,1,2.0,Não
66415,31,1,2.0,Sim
66416,31,1,2.0,Sim
66422,31,1,2.0,Sim
66423,31,1,2.0,Sim
66425,31,1,2.0,Sim
66427,31,1,2.0,Não
66428,31,1,2.0,Sim
66429,31,1,2.0,Sim
66430,31,1,2.0,Sim
66431,31,1,2.0,Não
66435,31,1,2.0,Sim
66436,31,1,2.0,Sim
66437,31,1,2.0,Sim
66438,31,1,2.0,Não
66439,31,1,2.0,Não
66444,31,1,2.0,Sim
66445,31,1,2.0,Sim
66446,31,1,2.0,Sim
66449,31,1,2.0,Sim
66450,31,1,2.0,Sim
66451,31,1,2.0,Sim
66453,31,1,2.0,Sim
66455,31,1,2.0,Sim
66458,31,1,2.0,Sim
66460,31,1,2.0,Sim
66461,31,1,2.0,Sim
66464,31,1,2.0,Sim
66465,31,1,2.0,Sim
66470,31,1,2.0,Sim
66473,31,1,2.0,Não
66475,31,1,2.0,Sim
66476,31,1,2.0,Sim
66477,31,1,2.0,Não
66479,31,1,2.0,Não
66481,31,1,2.0,Não
66482,31,1,2.0,Não
66487,31,1,2.0,Sim
66488,31,1,2.0,Não
66489,31,1,2.0,Não
66490,31,1,2.0,Sim
66491,31,1,2.0,Sim
66492,31,1,2.0,Não
66493,31,1,2.0,Sim
66497,31,1,2.0,Sim
66500,31,1,2.0,Sim
66502,31,1,2.0,Sim
66504,31,1,2.0,Sim
66505,31,1,2.0,Sim
66506,31,1,2.0,Sim
66507,31,1,2.0,Sim
66508,31,1,2.0,Sim
66509,31,1,2.0,Não
66510,31,1,2.0,Sim
66511,31,1,2.0,Sim
66512,31,1,2.0,Sim
66515,31,1,2.0,Sim
66518,31,1,2.0,Sim
66519,31,1,2.0,Sim
66521,31,1,2.0,Sim
66522,31,1,2.0,Sim
66524,31,1,2.0,Não
66528,31,1,2.0,Sim
66529,31,1,2.0,Sim
66532,31,1,2.0,Sim
66534,31,1,2.0,Sim
66535,31,1,2.0,Sim
66536,31,1,2.0,Sim
66537,31,1,2.0,Sim
66539,31,1,2.0,Não
66544,31,1,2.0,Sim
66545,31,1,2.0,Sim
66547,31,1,2.0,Sim
66548,31,1,2.0,Sim
66549,31,1,2.0,Sim
66550,31,1,2.0,Sim
66551,31,1,2.0,Sim
66552,31,1,2.0,Sim
66554,31,1,2.0,Sim
66556,31,1,2.0,Sim
66559,31,1,2.0,Sim
66561,31,1,2.0,Sim
66562,31,1,2.0,Sim
66563,31,1,2.0,Não
66564,31,1,2.0,Sim
66565,31,1,2.0,Sim
66568,31,1,2.0,Sim
66569,31,1,2.0,Sim
66571,31,1,2.0,Sim
