,Estado,Acesso a internet em casa,Acesso através de 3g ou 4g,Acesso por banda larga,Acesso por microcomputador,Acesso por celular,Número de TV de tela fina,Número de TV de tubo,Tem TV por assinatura,Tem TV por sinal aberto
64355,31,2.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0
64359,31,2.0,2.0,4.0,2.0,4.0,0.0,2.0,3.0,3.0
64363,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
64365,31,2.0,2.0,4.0,4.0,2.0,0.0,2.0,1.0,3.0
64367,31,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0
64368,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
64369,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
64370,31,2.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0
64377,31,2.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,1.0
64380,31,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0
64382,31,2.0,2.0,4.0,4.0,2.0,1.0,0.0,3.0,1.0
64394,31,2.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,3.0
64395,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
64401,31,2.0,2.0,4.0,4.0,2.0,1.0,0.0,1.0,3.0
64405,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64406,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64409,31,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0
64411,31,2.0,2.0,4.0,2.0,4.0,0.0,3.0,3.0,3.0
64414,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
64416,31,2.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,5.0
64420,31,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
64421,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64424,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
64425,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
64428,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0
64430,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
64431,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
64436,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
64448,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
64449,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0
64450,31,2.0,2.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0
64452,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
64453,31,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0
64456,31,2.0,4.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
64457,31,2.0,4.0,2.0,2.0,2.0,1.0,0.0,3.0,3.0
64460,31,2.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,5.0
64464,31,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0
64466,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0
64470,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0
64472,31,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0
64477,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64478,31,2.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0
64479,31,2.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0
64487,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0
64507,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64508,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
64512,31,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
64516,31,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
64518,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64521,31,2.0,4.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0
64522,31,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0
64523,31,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0
64524,31,2.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0
64525,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64527,31,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0
64528,31,2.0,2.0,4.0,2.0,2.0,0.0,2.0,1.0,3.0
64536,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64538,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
64543,31,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0
64544,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64545,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64548,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0
64561,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
64562,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,1.0,3.0
64566,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
64569,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0
64570,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64571,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64572,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0
64573,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0
64575,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64581,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,1.0
64582,31,2.0,2.0,4.0,2.0,4.0,1.0,2.0,3.0,1.0
64587,31,2.0,2.0,4.0,2.0,2.0,0.0,1.0,3.0,3.0
64589,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64590,31,2.0,2.0,2.0,2.0,2.0,4.0,0.0,1.0,1.0
64592,31,2.0,2.0,4.0,2.0,2.0,2.0,0.0,3.0,1.0
64593,31,2.0,2.0,4.0,2.0,2.0,1.0,0.0,3.0,1.0
64594,31,2.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0
64595,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
64598,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
64600,31,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0
64601,31,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
64602,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
64603,31,2.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0
64604,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0
64605,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
64606,31,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
64608,31,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0
64609,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0
64611,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
64613,31,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0
64614,31,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0
64615,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,1.0,3.0
64616,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0
64617,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
64618,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0
64619,31,2.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0
64620,31,2.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0
64621,31,2.0,4.0,4.0,2.0,4.0,0.0,3.0,3.0,3.0
64624,31,2.0,2.0,4.0,2.0,2.0,2.0,0.0,3.0,3.0
64626,31,2.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0
64627,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0
64628,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
64629,31,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
64630,31,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
64631,31,2.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
64632,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0
64633,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
64636,31,2.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0
64639,31,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0
64641,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0
64642,31,2.0,2.0,2.0,2.0,2.0,4.0,0.0,1.0,1.0
64645,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0
64647,31,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
64648,31,2.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0
64649,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
64650,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
64652,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
